,loc_name,lat,long,if_near
0,چیتگر تهران,35.7169564,51.2438647,1
1,شهرک غرب تهران,35.7590609,51.3760422,1
2,دروس تهران,35.7727353,51.4566868,0
3,شریف تهران,35.6922777,51.3711704,1
4,شکوفه تهران,35.6844683,51.4490001,1
5,نازی آباد تهران,35.6415378,51.4024937,0
6,زنجان تهران,35.6948656,51.3596154,0
7,سلامت تهران,35.7152865,51.4626575,0
8,شهران شمالی تهران,35.7733591,51.2882503,0
9,پیروزی تهران,35.690986,51.467861,1
10,تهرانپارس شرقی تهران,35.7411037,51.5466151,0
11,هروی تهران,35.7720416,51.4731866,1
12,فلاح تهران,35.6542843,51.3647609,0
13,محمودیه تهران,35.7964156,51.4126953,0
14,دارآباد تهران,35.861468,51.4978891,0
15,مبارک آباد بهشتی,35.7741447,51.4826188,1
16,خانی آباد نو تهران,35.6205262,51.3939825,0
17,جیحون تهران,35.6979009,51.3631305,0
18,سبلان تهران,35.7182413,51.4645702,0
19,سازمان آب تهران,35.7390313,51.2892731,0
20,جمالزاده تهران,35.6972201,51.3882841,1
21,وردآورد تهران,35.7438259,51.1506325,0
22,جنت آباد مرکزی تهران,35.7592656,51.3042107,0
23,میرداماد تهران,35.7601006,51.4339605,0
24,سهروردی تهران,35.7243829,51.4363446,0
25,ارم تهران,35.7290819,51.2881123,0
26,شهرک راه آهن تهران,35.7460916,51.1541693,0
27,کوی فردوس تهران,35.6181079,51.0475576,0
28,زعفرانیه تهران,35.8076813,51.4163789,0
29,پونک تهران,35.7675414,51.3303867,0
30,دهکده المپیک تهران,35.7668514,51.2524869,0
31,سلیمانی تهران,35.6486052,51.3374663,0
32,کرمان تهران,35.7330259,51.4739299,0
33,دریاچه شهدای خلیج فارس تهران,35.745160150000004,51.214035789232334,0
34,سازمان برنامه تهران,35.7285605,51.3001497,0
35,استخر تهران,35.7572103,51.5631124,0
36,قیطریه تهران,35.79030505,51.44497675704622,0
37,اندیشه تهران,35.7288939,51.4388377,1
38,نظام آباد,35.3576057,57.9713042,0
39,نارمک جنوبی تهران,35.7178984,51.4905671,0
40,خاوران تهران,35.6651028,51.452874,0
41,سعیدآباد تهران,35.6670974,51.1865602,0
42,سعادت آباد تهران,35.7860955,51.3781445,0
43,صاحب الزمان تهران,35.6489866,51.3227187,0
44,قیامدشت تهران,35.5237555,51.6510033,0
45,شادمهر تهران,35.7141908,51.368139,0
46,الهیه تهران,35.7898612,51.4262023,0
47,سلسبیل تهران,35.6987662,51.3752341,1
48,آذربایجان تهران,35.6917364,51.3979422,0
49,ستارخان تهران,35.7152704,51.4797778,0
50,تجریش تهران,35.804937,51.4409634,0
51,ایران تهران,35.6892523,51.3896004,0
52,اباذر تهران,35.7308741,51.3302859,0
53,منیریه تهران,35.6811307,51.401641,0
54,هاشم آباد تهران,35.583664,51.4403502,0
55,نیاوران تهران,35.8160561,51.4709472,0
56,تهرانسر تهران,35.6942692,51.2558471,0
57,شهید رجایی تهران,35.6327794,51.3293646,1
58,تاکسیرانی تهران,35.6723157,51.4827902,1
59,شهرک سینمایی تهران,35.4622722,51.2228565,0
60,گیشا تهران,35.7358464,51.3763769,0
61,مرزداران تهران,35.738556,51.3392797,0
62,گلاب دره تهران,35.8191201,51.439482,0
63,پرواز تهران,35.7900825,51.3536692,0
64,دبستان تهران,35.73639,51.4535887,1
65,تهرانپارس غربی تهران,35.7425353,51.532288,0
66,باغ فیض تهران,35.7443658,51.3223888,0
67,کوهک تهران,35.7332074,51.2440935,0
68,عارف تهران,35.6800628,51.4525096,0
69,نارمک تهران,35.7363694,51.5041892,0
70,اسکندری تهران,35.6886157,51.3813448,1
71,فرمانیه تهران,35.6985362,51.3704355,1
72,امامت تهران,35.7133845,51.4910729,0
73,دهقان تهران,35.6958208,51.3439521,0
74,توحید تهران,35.7006532,51.3782604,1
75,شهرک پرواز تهران,35.7264743,51.3070824,0
76,ظفر تهران,35.7418971,51.4574665,1
77,دردشت تهران,35.7277074,51.5076081,0
78,آهنگ تهران,35.6634373,51.476794,0
79,درب دوم تهران,35.7830666,51.4386271,0
80,مدائن تهران,35.7277237,51.4968439,0
81,سوهانک تهران,35.8034133,51.5282046,0
82,سیدخندان تهران,35.7470497,51.443004,0
83,نواب تهران,35.7432452,51.5600096,0
84,شهر زیبا تهران,35.7478326,51.291355,0
85,پاسداران تهران,35.7521802,51.4488434,0
86,شاهد تهران,35.710486,51.46269,0
87,حسین آباد تهران,35.7789408,51.4786726,1
88,ابوذر تهران,35.6811427,51.4897808,0
89,شهران جنوبی تهران,35.7588307,51.2909507,0
90,جنت آباد جنوبی تهران,35.7459811,51.3053102,0
91,یافت آباد تهران,35.6629572,51.3521774,0
92,قبا تهران,35.7631371,51.4506641,0
93,استاد معین تهران,35.7001565,51.3447089,0
94,دلگشا تهران,35.8059615,51.3830838,0
95,شهرک دانشگاه تهران تهران,35.7090685,51.1990456,0
96,شهرک شهید باقری تهران,35.7610799,51.2005506,0
97,جنت آباد شمالی تهران,35.7722271,51.3066147,0
98,سرخه حصار تهران,35.7211886,51.5529105,0
99,کوی مهران,35.5214268,46.1829897,0
100,بلوار کشاورز تهران,35.7079478,51.3840588,1
101,اختیاریه تهران,35.7863456,51.4611775,0
102,ایرانشهر تهران,35.7083993,51.4224119,0
103,یوسف آباد تهران,35.7346597,51.4045663,0
104,پرستار تهران,35.6883581,51.4837882,1
105,سرآسیاب مهرآباد تهران,35.6726263,51.3276155,0
106,مسعودیه تهران,35.6311765,51.4943903,0
107,ارامنه تهران,35.7180296,51.4558035,0
108,عبدل آباد تهران,35.6383716,51.3599477,0
109,خزانه تهران,35.6407457,51.4204924,0
110,دزاشیب تهران,35.8091055,51.4553023,0
111,هفت چنار تهران,35.675202,51.3690586,0
112,افسریه تهران,35.7020445,51.5007649,1
113,اوقاف تهران,35.7506521,51.5133048,0
114,شهرک کیانشهر,35.6316298,51.46020398216366,0
115,ظهیر آباد تهران,35.5961194,51.450373982227134,0
116,شبیری تهران,35.7274767,51.3932678,0
117,آسمان تهران,35.7805536,51.357001,0
118,میدان انقلاب تهران,35.7009816,51.3928037,1
